# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "4" "-a" "/home/sxy/rnaseq_project/reference/ecoli.gtf" "-o" "/home/sxy/rnaseq_project/results/counts/Ecoli_counts_CDS.txt" "-g" "transcript_id" "-t" "CDS" "-p" "/home/sxy/rnaseq_project/results/aligned/Ecoli_Aligned.sortedByCoord.out.bam" 						
Geneid	Chr	Start	End	Strand	Length	/home/sxy/rnaseq_project/results/aligned/Ecoli_Aligned.sortedByCoord.out.bam
gene-FAZ85_RS13555	NZ_SSTT01000013.1	96527	96982	-	456	827
gene-FAZ85_RS13560	NZ_SSTT01000013.1	97736	98386	+	651	1229
gene-FAZ85_RS13565	NZ_SSTT01000013.1	98391	98780	+	390	749
gene-FAZ85_RS13570	NZ_SSTT01000013.1	98805	99221	+	417	693
gene-FAZ85_RS13575	NZ_SSTT01000013.1	99248	100081	+	834	1068
gene-FAZ85_RS13580	NZ_SSTT01000013.1	100145	100636	-	492	603
gene-FAZ85_RS13585	NZ_SSTT01000013.1	100738	101292	-	555	750
gene-FAZ85_RS13590	NZ_SSTT01000013.1	101316	102053	-	738	1056
gene-FAZ85_RS13595	NZ_SSTT01000013.1	102108	103046	-	939	1227
gene-FAZ85_RS13605	NZ_SSTT01000013.1	103517	104358	-	842	0
gene-FAZ85_RS13610	NZ_SSTT01000013.1	104443	104640	-	198	2
gene-FAZ85_RS13615	NZ_SSTT01000013.1	104657	105145	-	489	17
gene-FAZ85_RS13620	NZ_SSTT01000013.1	105142	105525	-	384	100
gene-FAZ85_RS13625	NZ_SSTT01000013.1	105606	105986	-	381	153
gene-FAZ85_RS13630	NZ_SSTT01000013.1	105997	106680	-	684	14
gene-FAZ85_RS13635	NZ_SSTT01000013.1	106699	106920	-	222	56
gene-FAZ85_RS13640	NZ_SSTT01000013.1	106983	107459	-	477	318
gene-FAZ85_RS13645	NZ_SSTT01000013.1	107475	107960	-	486	1
gene-FAZ85_RS13650	NZ_SSTT01000013.1	108052	108873	-	822	0
gene-FAZ85_RS13660	NZ_SSTT01000013.1	108974	109208	-	235	0
gene-FAZ85_RS13665	NZ_SSTT01000013.1	109283	109738	-	456	0
gene-FAZ85_RS13670	NZ_SSTT01000013.1	109814	112330	-	2517	1673
gene-FAZ85_RS13675	NZ_SSTT01000013.1	112451	115297	-	2847	584
gene-FAZ85_RS13680	NZ_SSTT01000013.1	115669	116541	-	873	40
gene-FAZ85_RS13685	NZ_SSTT01000013.1	116909	117604	-	696	0
gene-FAZ85_RS13690	NZ_SSTT01000013.1	117607	118113	-	507	4
gene-FAZ85_RS13695	NZ_SSTT01000013.1	118110	118940	-	831	0
gene-FAZ85_RS13705	NZ_SSTT01000013.1	120262	120501	+	240	0
gene-FAZ85_RS13710	NZ_SSTT01000013.1	120541	122979	+	2439	3
gene-FAZ85_RS13715	NZ_SSTT01000013.1	122979	124334	+	1356	0
gene-FAZ85_RS13720	NZ_SSTT01000013.1	124347	125003	+	657	0
gene-FAZ85_RS13725	NZ_SSTT01000013.1	125000	126067	+	1068	0
gene-FAZ85_RS13730	NZ_SSTT01000013.1	126086	129181	+	3096	0
gene-FAZ85_RS13735	NZ_SSTT01000013.1	129181	129897	+	717	0
gene-FAZ85_RS13745	NZ_SSTT01000013.1	130242	130856	+	615	3
gene-FAZ85_RS13750	NZ_SSTT01000013.1	131100	132398	-	1299	1
gene-FAZ85_RS13755	NZ_SSTT01000013.1	132464	133183	-	720	0
gene-FAZ85_RS13760	NZ_SSTT01000013.1	133534	134472	+	939	1
gene-FAZ85_RS13765	NZ_SSTT01000013.1	134590	135048	-	459	0
gene-FAZ85_RS13770	NZ_SSTT01000013.1	135128	135619	+	492	4
gene-FAZ85_RS13775	NZ_SSTT01000013.1	135777	136922	-	1146	0
gene-FAZ85_RS13780	NZ_SSTT01000014.1	74	415	-	342	207
gene-FAZ85_RS13785	NZ_SSTT01000014.1	489	2504	-	2016	1597
gene-FAZ85_RS13790	NZ_SSTT01000014.1	2519	3382	-	864	878
gene-FAZ85_RS13795	NZ_SSTT01000014.1	3529	3927	-	399	2
gene-FAZ85_RS13800	NZ_SSTT01000014.1	3927	4154	-	228	0
gene-FAZ85_RS13805	NZ_SSTT01000014.1	4308	5021	-	714	895
gene-FAZ85_RS13810	NZ_SSTT01000014.1	5234	6268	-	1035	1113
gene-FAZ85_RS13815	NZ_SSTT01000014.1	6285	7163	-	879	1076
gene-FAZ85_RS13820	NZ_SSTT01000014.1	7309	7881	+	573	869
gene-FAZ85_RS13825	NZ_SSTT01000014.1	7881	8351	+	471	747
gene-FAZ85_RS13830	NZ_SSTT01000014.1	8604	9221	+	618	715
gene-FAZ85_RS13835	NZ_SSTT01000014.1	9221	11238	+	2018	1731
gene-FAZ85_RS13840	NZ_SSTT01000014.1	11249	12196	+	948	897
gene-FAZ85_RS13845	NZ_SSTT01000014.1	12213	13444	+	1232	798
gene-FAZ85_RS13850	NZ_SSTT01000014.1	13456	14106	+	651	576
gene-FAZ85_RS13855	NZ_SSTT01000014.1	14111	15691	+	1581	1585
gene-FAZ85_RS13860	NZ_SSTT01000014.1	15681	17348	+	1668	1644
gene-FAZ85_RS13865	NZ_SSTT01000014.1	17358	17903	+	546	467
gene-FAZ85_RS13870	NZ_SSTT01000014.1	17900	18658	+	759	538
gene-FAZ85_RS13875	NZ_SSTT01000014.1	18651	19064	+	414	391
gene-FAZ85_RS13880	NZ_SSTT01000014.1	19094	21106	+	2013	2232
gene-FAZ85_RS13885	NZ_SSTT01000014.1	21128	21976	+	849	874
gene-FAZ85_RS13890	NZ_SSTT01000014.1	22014	23075	-	1062	1268
gene-FAZ85_RS13895	NZ_SSTT01000014.1	23288	24751	+	1464	1581
gene-FAZ85_RS13900	NZ_SSTT01000014.1	24772	25131	+	360	483
gene-FAZ85_RS13905	NZ_SSTT01000014.1	25269	25970	-	702	784
gene-FAZ85_RS13910	NZ_SSTT01000014.1	26065	27354	-	1290	1447
gene-FAZ85_RS13915	NZ_SSTT01000014.1	27440	28066	-	627	835
gene-FAZ85_RS13920	NZ_SSTT01000014.1	28391	29428	+	1038	1339
gene-FAZ85_RS13925	NZ_SSTT01000014.1	29428	30066	+	639	716
gene-FAZ85_RS13930	NZ_SSTT01000014.1	30237	32303	+	2067	2892
gene-FAZ85_RS13935	NZ_SSTT01000014.1	32308	33849	+	1542	1728
gene-FAZ85_RS13940	NZ_SSTT01000014.1	33888	36131	-	2244	3652
gene-FAZ85_RS25615	NZ_SSTT01000014.1	36313	36465	-	153	318
gene-FAZ85_RS13945	NZ_SSTT01000014.1	36483	36674	+	192	419
gene-FAZ85_RS13950	NZ_SSTT01000014.1	36985	37503	+	519	929
gene-FAZ85_RS13955	NZ_SSTT01000014.1	37519	38058	+	540	956
gene-FAZ85_RS13960	NZ_SSTT01000014.1	38153	39730	-	1578	1821
gene-FAZ85_RS13965	NZ_SSTT01000014.1	39799	41265	-	1467	1557
gene-FAZ85_RS13970	NZ_SSTT01000014.1	41427	42797	+	1371	1450
gene-FAZ85_RS13975	NZ_SSTT01000014.1	42794	43009	-	216	282
gene-FAZ85_RS13980	NZ_SSTT01000014.1	43078	44550	-	1473	2132
gene-FAZ85_RS13985	NZ_SSTT01000014.1	44668	45846	-	1179	1295
gene-FAZ85_RS13990	NZ_SSTT01000014.1	45857	46477	-	621	768
gene-FAZ85_RS13995	NZ_SSTT01000014.1	46495	47769	-	1275	1353
gene-FAZ85_RS14000	NZ_SSTT01000014.1	47880	48998	-	1119	1374
gene-FAZ85_RS14005	NZ_SSTT01000014.1	49025	50038	-	1014	991
gene-FAZ85_RS14010	NZ_SSTT01000014.1	50323	51477	-	1155	1278
gene-FAZ85_RS14015	NZ_SSTT01000014.1	51627	52058	-	432	489
gene-FAZ85_RS14020	NZ_SSTT01000014.1	52207	54519	-	2313	1841
gene-FAZ85_RS14025	NZ_SSTT01000014.1	54520	59481	-	4962	5377
gene-FAZ85_RS14030	NZ_SSTT01000014.1	59688	60533	+	846	951
gene-FAZ85_RS26050	NZ_SSTT01000014.1	60869	60994	+	126	131
gene-FAZ85_RS14035	NZ_SSTT01000014.1	61026	61802	-	777	934
gene-FAZ85_RS26425	NZ_SSTT01000014.1	61832	61935	-	104	78
gene-FAZ85_RS14040	NZ_SSTT01000014.1	61944	63227	-	1284	1026
gene-FAZ85_RS14045	NZ_SSTT01000014.1	63405	63605	-	201	311
gene-FAZ85_RS14050	NZ_SSTT01000014.1	63617	63952	-	336	423
gene-FAZ85_RS14055	NZ_SSTT01000014.1	63954	65804	-	1851	1293
gene-FAZ85_RS14060	NZ_SSTT01000014.1	65821	66336	-	516	542
gene-FAZ85_RS14065	NZ_SSTT01000014.1	66432	66755	-	324	472
gene-FAZ85_RS14070	NZ_SSTT01000014.1	66772	67158	-	387	568
gene-FAZ85_RS14075	NZ_SSTT01000014.1	67186	68400	-	1215	1389
gene-FAZ85_RS14080	NZ_SSTT01000014.1	68512	69000	-	489	519
gene-FAZ85_RS14085	NZ_SSTT01000014.1	69301	70038	-	738	647
gene-FAZ85_RS14090	NZ_SSTT01000014.1	70157	70960	+	804	994
gene-FAZ85_RS14095	NZ_SSTT01000014.1	71105	71959	+	855	1293
gene-FAZ85_RS14100	NZ_SSTT01000014.1	72150	73430	+	1281	1731
gene-FAZ85_RS14105	NZ_SSTT01000014.1	73422	74561	-	1140	1221
gene-FAZ85_RS14110	NZ_SSTT01000014.1	74721	75611	-	891	1374
gene-FAZ85_RS14115	NZ_SSTT01000014.1	75747	77108	+	1362	1603
gene-FAZ85_RS14120	NZ_SSTT01000014.1	77105	77623	+	519	504
gene-FAZ85_RS14125	NZ_SSTT01000014.1	77623	77943	+	321	233
gene-FAZ85_RS14130	NZ_SSTT01000014.1	77940	78752	+	813	660
gene-FAZ85_RS14135	NZ_SSTT01000014.1	78762	79964	+	1203	1313
gene-FAZ85_RS14140	NZ_SSTT01000014.1	80061	80483	+	423	503
gene-FAZ85_RS14145	NZ_SSTT01000014.1	80531	81403	-	873	796
gene-FAZ85_RS14150	NZ_SSTT01000014.1	81415	82509	-	1095	832
gene-FAZ85_RS14155	NZ_SSTT01000014.1	82542	83540	-	999	898
gene-FAZ85_RS14160	NZ_SSTT01000014.1	83565	85076	-	1512	1336
gene-FAZ85_RS14165	NZ_SSTT01000014.1	85099	86082	-	984	1496
gene-FAZ85_RS14170	NZ_SSTT01000014.1	86179	89460	-	3282	3081
gene-FAZ85_RS14175	NZ_SSTT01000014.1	89578	90771	+	1194	1435
gene-FAZ85_RS14180	NZ_SSTT01000014.1	90835	92088	-	1254	1466
gene-FAZ85_RS14185	NZ_SSTT01000014.1	92417	93607	+	1191	1702
gene-FAZ85_RS14190	NZ_SSTT01000014.1	93652	93990	-	339	484
gene-FAZ85_RS14195	NZ_SSTT01000014.1	94051	95385	-	1335	1152
gene-FAZ85_RS14200	NZ_SSTT01000014.1	95375	96088	-	714	659
gene-FAZ85_RS14205	NZ_SSTT01000014.1	96253	97680	-	1428	1778
gene-FAZ85_RS14210	NZ_SSTT01000014.1	98238	102125	-	3888	2975
gene-FAZ85_RS14215	NZ_SSTT01000014.1	102383	103939	+	1557	2127
gene-FAZ85_RS14220	NZ_SSTT01000014.1	103936	104439	-	504	555
gene-FAZ85_RS14225	NZ_SSTT01000014.1	104497	105132	-	636	820
gene-FAZ85_RS14230	NZ_SSTT01000014.1	105341	106189	+	849	1356
gene-FAZ85_RS14235	NZ_SSTT01000014.1	106245	106505	+	261	594
gene-FAZ85_RS14240	NZ_SSTT01000014.1	106699	106779	-	81	254
gene-FAZ85_RS14245	NZ_SSTT01000014.1	107200	107580	-	381	531
gene-FAZ85_RS14250	NZ_SSTT01000014.1	107580	108311	-	732	658
gene-FAZ85_RS14255	NZ_SSTT01000014.1	108323	109051	-	729	832
gene-FAZ85_RS14260	NZ_SSTT01000014.1	109063	109968	-	906	1121
gene-FAZ85_RS14265	NZ_SSTT01000014.1	109965	110645	-	681	932
gene-FAZ85_RS14270	NZ_SSTT01000014.1	110917	111891	-	975	1223
gene-FAZ85_RS14275	NZ_SSTT01000014.1	111907	113706	-	1800	2045
gene-FAZ85_RS14280	NZ_SSTT01000014.1	113904	114383	-	480	623
gene-FAZ85_RS14285	NZ_SSTT01000014.1	114380	115336	-	957	1100
gene-FAZ85_RS14290	NZ_SSTT01000014.1	115336	115986	-	651	792
gene-FAZ85_RS14295	NZ_SSTT01000014.1	116019	116594	-	576	930
gene-FAZ85_RS14300	NZ_SSTT01000014.1	116591	116746	-	156	291
gene-FAZ85_RS14305	NZ_SSTT01000014.1	117002	118624	+	1623	1654
gene-FAZ85_RS14310	NZ_SSTT01000014.1	118609	119346	-	738	793
gene-FAZ85_RS14315	NZ_SSTT01000014.1	119478	120812	+	1335	1359
gene-FAZ85_RS14320	NZ_SSTT01000014.1	121021	121902	-	882	1342
gene-FAZ85_RS14325	NZ_SSTT01000014.1	122005	122592	+	588	870
gene-FAZ85_RS14330	NZ_SSTT01000014.1	122648	123031	-	384	774
gene-FAZ85_RS14335	NZ_SSTT01000014.1	123336	124025	+	690	1030
gene-FAZ85_RS14340	NZ_SSTT01000014.1	124073	125110	-	1038	967
gene-FAZ85_RS14345	NZ_SSTT01000014.1	125317	125736	+	420	636
gene-FAZ85_RS14350	NZ_SSTT01000014.1	125805	126503	+	699	986
gene-FAZ85_RS14355	NZ_SSTT01000014.1	126535	129195	+	2661	2784
gene-FAZ85_RS14360	NZ_SSTT01000014.1	129309	130664	+	1356	2176
gene-FAZ85_RS14365	NZ_SSTT01000014.1	130710	131033	+	324	461
gene-FAZ85_RS14370	NZ_SSTT01000014.1	131030	132328	-	1299	2009
gene-FAZ85_RS14380	NZ_SSTT01000015.1	1	2490	+	2490	3512
gene-FAZ85_RS14385	NZ_SSTT01000015.1	2501	3592	+	1092	1836
gene-FAZ85_RS14390	NZ_SSTT01000015.1	3635	4495	-	861	1076
gene-FAZ85_RS14395	NZ_SSTT01000015.1	4560	6596	+	2037	1780
gene-FAZ85_RS14400	NZ_SSTT01000015.1	6554	6949	+	396	252
gene-FAZ85_RS14405	NZ_SSTT01000015.1	6969	7559	+	591	562
gene-FAZ85_RS14410	NZ_SSTT01000015.1	7569	8144	+	576	622
gene-FAZ85_RS14415	NZ_SSTT01000015.1	8349	9389	-	1041	981
gene-FAZ85_RS14420	NZ_SSTT01000015.1	9462	10097	-	636	699
gene-FAZ85_RS14425	NZ_SSTT01000015.1	10225	10743	+	519	619
gene-FAZ85_RS14430	NZ_SSTT01000015.1	10723	11166	-	444	528
gene-FAZ85_RS14435	NZ_SSTT01000015.1	11217	11519	+	303	305
gene-FAZ85_RS14440	NZ_SSTT01000015.1	11506	12009	-	504	492
gene-FAZ85_RS14445	NZ_SSTT01000015.1	12003	12527	-	525	756
gene-FAZ85_RS14450	NZ_SSTT01000015.1	12736	13731	+	996	871
gene-FAZ85_RS14455	NZ_SSTT01000015.1	13740	14618	+	879	753
gene-FAZ85_RS14460	NZ_SSTT01000015.1	14824	15831	+	1008	858
gene-FAZ85_RS14465	NZ_SSTT01000015.1	15949	17193	-	1245	1292
gene-FAZ85_RS14470	NZ_SSTT01000015.1	17347	19236	-	1890	1822
gene-FAZ85_RS14475	NZ_SSTT01000015.1	19229	19309	-	81	100
gene-FAZ85_RS14480	NZ_SSTT01000015.1	19416	20300	-	885	1494
gene-FAZ85_RS14485	NZ_SSTT01000015.1	20409	22544	-	2136	2528
gene-FAZ85_RS14490	NZ_SSTT01000015.1	22791	23060	-	270	465
gene-FAZ85_RS14495	NZ_SSTT01000015.1	23209	24153	-	945	1221
gene-FAZ85_RS14500	NZ_SSTT01000015.1	24153	24554	-	402	580
gene-FAZ85_RS14505	NZ_SSTT01000015.1	24718	27390	-	2673	3621
gene-FAZ85_RS14510	NZ_SSTT01000015.1	27415	28902	-	1488	1934
gene-FAZ85_RS14515	NZ_SSTT01000015.1	28930	29382	-	453	786
gene-FAZ85_RS14525	NZ_SSTT01000015.1	30013	31356	+	1344	1988
gene-FAZ85_RS14530	NZ_SSTT01000015.1	31364	32989	-	1626	3187
gene-FAZ85_RS14540	NZ_SSTT01000015.1	33549	33881	-	333	644
gene-FAZ85_RS14545	NZ_SSTT01000015.1	34109	35446	-	1338	1293
gene-FAZ85_RS14550	NZ_SSTT01000015.1	35439	36287	-	849	1037
gene-FAZ85_RS14555	NZ_SSTT01000015.1	36377	38311	-	1935	2326
gene-FAZ85_RS14560	NZ_SSTT01000015.1	38411	39040	-	630	1233
gene-FAZ85_RS14565	NZ_SSTT01000015.1	39166	39459	+	294	635
gene-FAZ85_RS14570	NZ_SSTT01000015.1	39615	40091	-	477	857
gene-FAZ85_RS14575	NZ_SSTT01000015.1	40339	41772	+	1434	1469
gene-FAZ85_RS14580	NZ_SSTT01000015.1	41958	43130	-	1173	1331
gene-FAZ85_RS14585	NZ_SSTT01000015.1	43146	44111	-	966	1329
gene-FAZ85_RS14590	NZ_SSTT01000015.1	44238	44495	-	258	371
gene-FAZ85_RS14595	NZ_SSTT01000015.1	44516	44827	-	312	549
gene-FAZ85_RS14600	NZ_SSTT01000015.1	45086	46057	+	972	1426
gene-FAZ85_RS14605	NZ_SSTT01000015.1	46284	46562	+	279	456
gene-FAZ85_RS14610	NZ_SSTT01000015.1	46610	47869	-	1260	1437
gene-FAZ85_RS14615	NZ_SSTT01000015.1	47924	48178	-	255	439
gene-FAZ85_RS14620	NZ_SSTT01000015.1	48338	48631	-	294	395
gene-FAZ85_RS14625	NZ_SSTT01000015.1	48631	49266	-	636	719
gene-FAZ85_RS14630	NZ_SSTT01000015.1	49285	49836	-	552	720
gene-FAZ85_RS14635	NZ_SSTT01000015.1	49841	50623	-	783	807
gene-FAZ85_RS14640	NZ_SSTT01000015.1	50631	51440	-	810	919
gene-FAZ85_RS14645	NZ_SSTT01000015.1	51650	52627	+	978	1315
gene-FAZ85_RS14650	NZ_SSTT01000015.1	52641	53627	+	987	1147
gene-FAZ85_RS14655	NZ_SSTT01000015.1	53648	54214	+	567	727
gene-FAZ85_RS14660	NZ_SSTT01000015.1	54211	54786	+	576	692
gene-FAZ85_RS14665	NZ_SSTT01000015.1	54755	55312	+	558	697
gene-FAZ85_RS14670	NZ_SSTT01000015.1	55319	56044	+	726	779
gene-FAZ85_RS14675	NZ_SSTT01000015.1	56092	57525	+	1434	1683
gene-FAZ85_RS14680	NZ_SSTT01000015.1	57548	57835	+	288	481
gene-FAZ85_RS14685	NZ_SSTT01000015.1	57953	58444	+	492	709
gene-FAZ85_RS14690	NZ_SSTT01000015.1	58490	59344	+	855	1162
gene-FAZ85_RS14695	NZ_SSTT01000015.1	59341	59613	+	273	465
gene-FAZ85_RS14700	NZ_SSTT01000015.1	59827	60459	+	633	980
gene-FAZ85_RS14705	NZ_SSTT01000015.1	60456	61184	-	729	930
gene-FAZ85_RS14710	NZ_SSTT01000015.1	61181	61834	-	654	823
gene-FAZ85_RS14715	NZ_SSTT01000015.1	62064	64400	-	2337	3381
gene-FAZ85_RS14720	NZ_SSTT01000015.1	64496	65425	-	930	1118
gene-FAZ85_RS14725	NZ_SSTT01000015.1	66100	70560	+	4461	3191
gene-FAZ85_RS14730	NZ_SSTT01000015.1	70573	71991	+	1419	886
gene-FAZ85_RS14735	NZ_SSTT01000015.1	72175	73302	+	1128	1534
gene-FAZ85_RS14740	NZ_SSTT01000015.1	73362	73826	-	465	626
gene-FAZ85_RS14745	NZ_SSTT01000015.1	73823	74698	-	876	510
gene-FAZ85_RS14750	NZ_SSTT01000015.1	74695	75384	-	690	497
gene-FAZ85_RS14755	NZ_SSTT01000015.1	75432	76922	-	1491	1428
gene-FAZ85_RS14760	NZ_SSTT01000015.1	77031	77924	-	894	1264
gene-FAZ85_RS14765	NZ_SSTT01000015.1	78046	78837	-	792	1250
gene-FAZ85_RS14770	NZ_SSTT01000015.1	79217	80584	+	1368	2065
gene-FAZ85_RS14775	NZ_SSTT01000015.1	80627	81124	-	498	496
gene-FAZ85_RS14780	NZ_SSTT01000015.1	81130	81768	-	639	847
gene-FAZ85_RS14790	NZ_SSTT01000015.1	82163	82555	-	393	600
gene-FAZ85_RS14795	NZ_SSTT01000015.1	82571	82999	-	429	649
gene-FAZ85_RS14800	NZ_SSTT01000015.1	83218	84345	-	1128	1594
gene-FAZ85_RS14805	NZ_SSTT01000015.1	84539	84937	+	399	675
gene-FAZ85_RS14810	NZ_SSTT01000015.1	85091	86458	+	1368	1956
gene-FAZ85_RS14815	NZ_SSTT01000015.1	86548	87615	+	1068	1213
gene-FAZ85_RS14820	NZ_SSTT01000015.1	87677	88615	-	939	1416
gene-FAZ85_RS14825	NZ_SSTT01000015.1	89050	89520	+	471	995
gene-FAZ85_RS14830	NZ_SSTT01000015.1	89885	90148	+	264	593
gene-FAZ85_RS14835	NZ_SSTT01000015.1	90204	90476	-	273	497
gene-FAZ85_RS14840	NZ_SSTT01000015.1	90568	92535	-	1968	2319
gene-FAZ85_RS14845	NZ_SSTT01000015.1	92541	93473	-	933	1103
gene-FAZ85_RS14850	NZ_SSTT01000015.1	93481	93684	-	204	307
gene-FAZ85_RS14855	NZ_SSTT01000015.1	93867	94796	+	930	1265
gene-FAZ85_RS14860	NZ_SSTT01000015.1	94924	96369	-	1446	1430
gene-FAZ85_RS14865	NZ_SSTT01000015.1	96525	100325	-	3801	4301
gene-FAZ85_RS14870	NZ_SSTT01000015.1	100393	101862	-	1470	1892
gene-FAZ85_RS14875	NZ_SSTT01000015.1	101852	102445	-	594	728
gene-FAZ85_RS14880	NZ_SSTT01000015.1	102454	102942	-	489	504
gene-FAZ85_RS14885	NZ_SSTT01000015.1	102942	104045	-	1104	940
gene-FAZ85_RS14890	NZ_SSTT01000015.1	104111	105154	-	1044	1196
gene-FAZ85_RS14895	NZ_SSTT01000015.1	105459	107399	-	1941	3081
gene-FAZ85_RS14900	NZ_SSTT01000015.1	107551	108525	+	975	1299
gene-FAZ85_RS14905	NZ_SSTT01000015.1	109503	109973	+	471	635
gene-FAZ85_RS14910	NZ_SSTT01000015.1	109984	111333	+	1350	1536
gene-FAZ85_RS14915	NZ_SSTT01000015.1	111442	111684	+	243	284
gene-FAZ85_RS14920	NZ_SSTT01000015.1	111674	113125	+	1452	1434
gene-FAZ85_RS14925	NZ_SSTT01000015.1	113137	114018	+	882	1035
gene-FAZ85_RS14930	NZ_SSTT01000015.1	114347	115312	+	966	1438
gene-FAZ85_RS14935	NZ_SSTT01000015.1	115338	115634	+	297	602
gene-FAZ85_RS14940	NZ_SSTT01000015.1	115720	116604	+	885	1712
gene-FAZ85_RS14945	NZ_SSTT01000015.1	116688	116867	+	180	361
gene-FAZ85_RS14950	NZ_SSTT01000015.1	116870	117532	-	663	1337
gene-FAZ85_RS14955	NZ_SSTT01000015.1	117931	119088	+	1158	1487
gene-FAZ85_RS14960	NZ_SSTT01000015.1	119100	122204	+	3105	4289
gene-FAZ85_RS14965	NZ_SSTT01000015.1	122457	122678	+	222	370
gene-FAZ85_RS14970	NZ_SSTT01000015.1	123109	124134	+	1026	1708
gene-FAZ85_RS14975	NZ_SSTT01000015.1	124202	125383	+	1182	1533
gene-FAZ85_RS14980	NZ_SSTT01000015.1	125393	126496	+	1104	1405
gene-FAZ85_RS14985	NZ_SSTT01000015.1	126504	127262	+	759	1142
gene-FAZ85_RS25865	NZ_SSTT01000015.1	127259	127572	-	314	250
gene-FAZ85_RS14990	NZ_SSTT01000016.1	412	1104	+	693	1016
gene-FAZ85_RS14995	NZ_SSTT01000016.1	1127	2554	+	1428	2028
gene-FAZ85_RS15000	NZ_SSTT01000016.1	2520	3512	-	993	1253
gene-FAZ85_RS15005	NZ_SSTT01000016.1	3516	4445	-	930	1248
gene-FAZ85_RS15010	NZ_SSTT01000016.1	4571	5461	-	891	1232
gene-FAZ85_RS15015	NZ_SSTT01000016.1	5486	6451	-	966	1009
gene-FAZ85_RS15020	NZ_SSTT01000016.1	6456	7961	-	1506	2231
gene-FAZ85_RS15025	NZ_SSTT01000016.1	7969	8388	-	420	745
gene-FAZ85_RS15030	NZ_SSTT01000016.1	8555	10423	-	1869	2626
gene-FAZ85_RS15035	NZ_SSTT01000016.1	10646	12142	+	1497	2126
gene-FAZ85_RS15040	NZ_SSTT01000016.1	12136	13587	+	1452	1803
gene-FAZ85_RS15045	NZ_SSTT01000016.1	13592	14584	-	993	1098
gene-FAZ85_RS15050	NZ_SSTT01000016.1	14736	15194	+	459	932
gene-FAZ85_RS15055	NZ_SSTT01000016.1	15284	15727	+	444	787
gene-FAZ85_RS15060	NZ_SSTT01000016.1	16106	17995	+	1890	2265
gene-FAZ85_RS15065	NZ_SSTT01000016.1	18059	18682	+	624	1232
gene-FAZ85_RS15070	NZ_SSTT01000016.1	19299	19679	+	381	666
gene-FAZ85_RS15075	NZ_SSTT01000016.1	19688	20503	+	816	1351
gene-FAZ85_RS15080	NZ_SSTT01000016.1	20550	20789	+	240	438
gene-FAZ85_RS15085	NZ_SSTT01000016.1	20851	21321	+	471	686
gene-FAZ85_RS15090	NZ_SSTT01000016.1	21336	21869	+	534	653
gene-FAZ85_RS15095	NZ_SSTT01000016.1	21882	23423	+	1542	1945
gene-FAZ85_RS15100	NZ_SSTT01000016.1	23474	24337	+	864	1009
gene-FAZ85_RS15105	NZ_SSTT01000016.1	24364	25746	+	1383	1656
gene-FAZ85_RS15110	NZ_SSTT01000016.1	25767	26186	+	420	597
gene-FAZ85_RS15120	NZ_SSTT01000016.1	26537	27907	+	1371	1862
gene-FAZ85_RS15125	NZ_SSTT01000016.1	28069	29898	+	1830	2176
gene-FAZ85_RS15130	NZ_SSTT01000016.1	30200	30774	+	575	0
gene-FAZ85_RS15135	NZ_SSTT01000016.1	30822	31553	+	732	0
gene-FAZ85_RS15140	NZ_SSTT01000016.1	31578	34100	+	2523	1
gene-FAZ85_RS15145	NZ_SSTT01000016.1	34111	35184	+	1074	0
gene-FAZ85_RS15150	NZ_SSTT01000016.1	35432	36472	+	1041	1447
gene-FAZ85_RS15155	NZ_SSTT01000016.1	36559	37518	+	960	1034
gene-FAZ85_RS15160	NZ_SSTT01000016.1	37518	38408	+	891	871
gene-FAZ85_RS15165	NZ_SSTT01000016.1	38499	39272	+	774	835
gene-FAZ85_RS15170	NZ_SSTT01000016.1	39287	40012	+	726	1045
gene-FAZ85_RS15175	NZ_SSTT01000016.1	40298	41134	+	837	1793
gene-FAZ85_RS15180	NZ_SSTT01000016.1	41266	43143	+	1878	2404
gene-FAZ85_RS15185	NZ_SSTT01000016.1	43162	44556	+	1395	2291
gene-FAZ85_RS15190	NZ_SSTT01000016.1	44642	46258	+	1617	3107
gene-FAZ85_RS15195	NZ_SSTT01000016.1	46285	47454	+	1170	1778
gene-FAZ85_RS15200	NZ_SSTT01000016.1	47469	48191	+	723	1166
gene-FAZ85_RS15205	NZ_SSTT01000016.1	48253	48840	-	588	1117
gene-FAZ85_RS15210	NZ_SSTT01000016.1	48889	49362	-	474	910
gene-FAZ85_RS15215	NZ_SSTT01000016.1	49429	50094	-	666	1143
gene-FAZ85_RS15220	NZ_SSTT01000016.1	50261	51598	+	1338	1619
gene-FAZ85_RS15225	NZ_SSTT01000016.1	51652	52218	-	567	767
gene-FAZ85_RS15230	NZ_SSTT01000016.1	52240	52989	-	750	1144
gene-FAZ85_RS15235	NZ_SSTT01000016.1	53146	54105	-	960	1208
gene-FAZ85_RS15240	NZ_SSTT01000016.1	54080	55255	-	1176	1423
gene-FAZ85_RS15245	NZ_SSTT01000016.1	55388	56635	-	1248	2282
gene-FAZ85_RS15250	NZ_SSTT01000016.1	56726	58141	-	1416	2024
gene-FAZ85_RS15255	NZ_SSTT01000016.1	58362	58436	-	75	132
gene-FAZ85_RS15260	NZ_SSTT01000016.1	58679	60043	-	1365	1486
